"","hc_5","variety_of_choice","electronics","furniture","quality_of_service","low_prices","return_policy","n","prop"
"1","1",1.09259081142614,-0.00479703319327594,1.15715892686013,-0.411720428695652,-0.535133793232348,-0.734124403842129,59,0.295
"2","2",-0.322318432281151,-0.797615791863772,-0.871992470768358,-0.200018910949176,1.32566245793601,0.723922487244135,60,0.3
"3","3",-1.30443190732503,1.03977618408048,-0.485431443658771,0.0759276187564161,-0.802230906209547,1.25597919961392,17,0.085
"4","4",0.32989403994402,1.17988326814871,0.463979430615876,-0.697496572302728,-0.110918745149852,-0.359056257718199,35,0.175
"5","5",-1.18947244519959,-0.373521967046327,-0.825509447172511,2.04876725730105,-1.04988869619466,-0.307127130388349,29,0.145
